cycle,task_id,state,fetch_fstate,memory_tx,store_tx,output_tx
69,1,1,0,0,0,0
70,1,2,1,0,0,0
71,1,2,2,1,0,0
72,1,2,3,0,0,0
73,1,2,1,0,0,0
74,1,2,2,1,0,0
75,1,2,3,0,0,0
76,1,2,1,0,0,0
77,1,2,2,1,0,0
78,1,2,3,0,0,0
79,1,2,1,0,0,0
80,1,2,2,1,0,0
81,1,2,3,0,0,0
82,1,2,1,0,0,0
83,1,2,2,1,0,0
84,1,2,3,0,0,0
85,1,2,1,0,0,0
86,1,2,2,1,0,0
87,1,2,3,0,0,0
88,1,2,1,0,0,0
89,1,2,2,1,0,0
90,1,2,3,0,0,0
91,1,2,1,0,0,0
92,1,2,2,1,0,0
93,1,2,3,0,0,0
94,1,2,1,0,0,0
95,1,2,2,1,0,0
96,1,2,3,0,0,0
97,1,2,1,0,0,0
98,1,2,2,1,0,0
99,1,2,3,0,0,0
100,1,2,1,0,0,0
101,1,2,2,1,0,0
102,1,2,3,0,0,0
103,1,2,1,0,0,0
104,1,2,2,1,0,0
105,1,2,3,0,0,0
106,1,2,1,0,0,0
107,1,2,2,1,0,0
108,1,2,3,0,0,0
109,1,2,1,0,0,0
110,1,2,2,1,0,0
111,1,2,3,0,0,0
112,1,2,1,0,0,0
113,1,2,2,1,0,0
114,1,2,3,0,0,0
115,1,2,1,0,0,0
116,1,2,2,1,0,0
117,1,2,3,0,0,0
118,1,2,0,0,0,0
119,1,3,0,0,0,0
120,1,4,0,0,0,0
121,1,4,0,0,0,0
122,1,4,0,0,0,0
123,1,4,0,0,0,0
124,1,4,0,0,0,0
125,1,4,0,0,0,0
126,1,4,0,0,0,0
127,1,4,0,0,0,0
128,1,4,0,0,0,0
129,1,4,0,0,0,0
130,1,4,0,0,0,0
131,1,5,0,0,1,0
132,1,5,0,0,1,0
133,1,5,0,0,1,0
134,1,5,0,0,1,0
135,1,5,0,0,1,0
136,1,5,0,0,1,0
137,1,5,0,0,1,0
138,1,5,0,0,1,0
139,1,5,0,0,1,0
140,1,5,0,0,1,0
141,1,5,0,0,1,0
142,1,5,0,0,1,0
143,1,5,0,0,1,0
144,1,5,0,0,1,0
145,1,5,0,0,1,0
146,1,5,0,0,1,0
244,2,1,0,0,0,0
245,2,2,1,0,0,0
246,2,2,2,1,0,0
247,2,2,3,0,0,0
248,2,2,1,0,0,0
249,2,2,2,1,0,0
250,2,2,3,0,0,0
251,2,2,1,0,0,0
252,2,2,2,1,0,0
253,2,2,3,0,0,0
254,2,2,1,0,0,0
255,2,2,2,1,0,0
256,2,2,3,0,0,0
257,2,2,1,0,0,0
258,2,2,2,1,0,0
259,2,2,3,0,0,0
260,2,2,1,0,0,0
261,2,2,2,1,0,0
262,2,2,3,0,0,0
263,2,2,1,0,0,0
264,2,2,2,1,0,0
265,2,2,3,0,0,0
266,2,2,1,0,0,0
267,2,2,2,1,0,0
268,2,2,3,0,0,0
269,2,2,1,0,0,0
270,2,2,2,1,0,0
271,2,2,3,0,0,0
272,2,2,1,0,0,0
273,2,2,2,1,0,0
274,2,2,3,0,0,0
275,2,2,1,0,0,0
276,2,2,2,1,0,0
277,2,2,3,0,0,0
278,2,2,1,0,0,0
279,2,2,2,1,0,0
280,2,2,3,0,0,0
281,2,2,1,0,0,0
282,2,2,2,1,0,0
283,2,2,3,0,0,0
284,2,2,1,0,0,0
285,2,2,2,1,0,0
286,2,2,3,0,0,0
287,2,2,1,0,0,0
288,2,2,2,1,0,0
289,2,2,3,0,0,0
290,2,2,1,0,0,0
291,2,2,2,1,0,0
292,2,2,3,0,0,0
293,2,2,0,0,0,0
294,2,3,0,0,0,0
295,2,4,0,0,0,0
296,2,4,0,0,0,0
297,2,4,0,0,0,0
298,2,4,0,0,0,0
299,2,4,0,0,0,0
300,2,4,0,0,0,0
301,2,4,0,0,0,0
302,2,4,0,0,0,0
303,2,4,0,0,0,0
304,2,4,0,0,0,0
305,2,4,0,0,0,0
306,2,5,0,0,1,0
307,2,5,0,0,1,0
308,2,5,0,0,1,0
309,2,5,0,0,1,0
310,2,5,0,0,1,0
311,2,5,0,0,1,0
312,2,5,0,0,1,0
313,2,5,0,0,1,0
314,2,5,0,0,1,0
315,2,5,0,0,1,0
316,2,5,0,0,1,0
317,2,5,0,0,1,0
318,2,5,0,0,1,0
319,2,5,0,0,1,0
320,2,5,0,0,1,0
321,2,5,0,0,1,0
