cycle,state,task_id,result_valid,result_ready,memory_tx,output_tx,store_active,pe_clock_active,compute_store_overlap
69,1,0,0,1,0,0,0,0,0
70,2,0,0,1,0,0,0,0,0
71,2,0,0,1,0,0,0,0,0
72,2,0,0,1,1,0,0,0,0
73,2,0,0,1,0,0,0,0,0
74,2,0,0,1,0,0,0,0,0
75,2,0,0,1,1,0,0,0,0
76,2,0,0,1,0,0,0,0,0
77,2,0,0,1,0,0,0,0,0
78,2,0,0,1,1,0,0,0,0
79,2,0,0,1,0,0,0,0,0
80,2,0,0,1,0,0,0,0,0
81,2,0,0,1,1,0,0,0,0
82,2,0,0,1,0,0,0,0,0
83,2,0,0,1,0,0,0,0,0
84,3,0,0,1,0,0,0,0,0
85,4,0,0,1,0,0,0,0,0
86,5,0,0,1,0,0,0,0,0
87,5,0,0,1,0,0,0,1,0
88,5,0,0,1,1,0,0,1,0
89,5,0,0,1,0,0,0,1,0
90,5,0,0,1,0,0,0,1,0
91,5,0,0,1,1,0,0,1,0
92,5,0,0,1,0,0,0,1,0
93,5,0,0,1,0,0,0,1,0
94,5,0,0,1,1,0,0,1,0
95,5,0,0,1,0,0,0,1,0
96,5,0,0,1,0,0,0,1,0
97,5,0,0,1,1,0,0,0,0
98,6,0,0,1,0,0,0,0,0
99,7,1,0,1,0,0,0,0,0
100,7,1,0,1,0,0,1,0,0
101,8,1,0,1,0,0,1,0,0
102,4,1,0,1,0,0,1,0,0
103,5,1,0,1,0,0,1,0,1
104,5,1,0,1,0,0,1,1,1
105,5,1,0,1,1,0,1,1,1
106,5,1,0,1,0,0,1,1,1
107,5,1,0,1,0,0,1,1,1
108,5,1,0,1,1,0,0,1,0
109,5,1,0,1,0,0,0,1,0
110,5,1,0,1,0,0,0,1,0
111,5,1,0,1,1,0,0,1,0
112,5,1,0,1,0,0,0,1,0
113,5,1,0,1,0,0,0,1,0
114,5,1,0,1,1,0,0,0,0
115,6,1,0,1,0,0,0,0,0
116,7,2,0,1,0,0,0,0,0
117,7,2,0,1,0,0,1,0,0
118,8,2,0,1,0,0,1,0,0
119,4,2,0,1,0,0,1,0,0
120,5,2,0,1,0,0,1,0,1
121,5,2,0,1,0,0,1,1,1
122,5,2,0,1,1,0,1,1,1
123,5,2,0,1,0,0,1,1,1
124,5,2,0,1,0,0,1,1,1
125,5,2,0,1,1,0,0,1,0
126,5,2,0,1,0,0,0,1,0
127,5,2,0,1,0,0,0,1,0
128,5,2,0,1,1,0,0,1,0
129,5,2,0,1,0,0,0,1,0
130,5,2,0,1,0,0,0,1,0
131,5,2,0,1,1,0,0,0,0
132,6,2,0,1,0,0,0,0,0
133,7,3,0,1,0,0,0,0,0
134,7,3,0,1,0,0,1,0,0
135,8,3,0,1,0,0,1,0,0
136,4,3,0,1,0,0,1,0,0
137,5,3,0,1,0,0,1,0,1
138,5,3,0,1,0,0,1,1,1
139,5,3,0,1,0,0,1,1,1
140,5,3,0,1,0,0,1,1,1
141,5,3,0,1,0,0,1,1,1
142,5,3,0,1,0,0,0,1,0
143,5,3,0,1,0,0,0,1,0
144,5,3,0,1,0,0,0,1,0
145,5,3,0,1,0,0,0,1,0
146,5,3,0,1,0,0,0,1,0
147,5,3,0,1,0,0,0,1,0
148,5,3,0,1,0,0,0,0,0
149,6,3,0,1,0,0,0,0,0
150,9,3,0,1,0,0,0,0,0
151,9,3,0,1,0,0,1,0,0
152,9,3,0,1,0,0,1,0,0
153,9,3,0,1,0,0,1,0,0
154,9,3,0,1,0,0,1,0,0
155,9,3,0,1,0,0,1,0,0
156,9,3,0,1,0,0,1,0,0
157,9,3,0,1,0,0,1,0,0
158,9,3,0,1,0,0,1,0,0
159,9,3,0,1,0,0,0,0,0
160,10,3,0,1,0,0,0,0,0
